threshold,delta,attack,noise,tp,fp,fn,tn,tpr,fpr,prec,f1
0.3,5,exploit,5,9,3,1,301,0.9,0.009868421052631578,0.75,0.8181818181818182
0.3,5,non-attack,5,0,17,1,296,0.0,0.054313099041533544,0.0,0.0
0.3,5,multiple,5,14,10,21,269,0.4,0.035842293906810034,0.5833333333333334,0.4745762711864407
0.3,5,noise,5,228,6,21,59,0.9156626506024096,0.09230769230769231,0.9743589743589743,0.9440993788819876
0.3,5,nmap,10,0,0,1,353,0.0,0.0,0.0,0.0
0.3,5,nikto,10,0,3,2,349,0.0,0.008522727272727272,0.0,0.0
0.3,5,vrfy,10,0,0,0,354,0,0.0,0.0,0.0
0.3,5,hydra,10,0,7,2,345,0.0,0.019886363636363636,0.0,0.0
0.3,5,upload,10,0,1,1,352,0.0,0.0028328611898017,0.0,0.0
0.3,5,exploit,10,1,2,3,348,0.25,0.005714285714285714,0.3333333333333333,0.2857142857142857
0.3,5,non-attack,10,0,19,0,335,0,0.05367231638418079,0.0,0.0
0.3,5,multiple,10,30,57,22,245,0.5769230769230769,0.18874172185430463,0.3448275862068966,0.4316546762589928
0.3,5,noise,10,222,12,70,50,0.7602739726027398,0.1935483870967742,0.9487179487179487,0.844106463878327
0.3,5,nmap,50,0,0,0,50,0,0.0,0.0,0.0
0.3,5,nikto,50,0,0,0,50,0,0.0,0.0,0.0
0.3,5,vrfy,50,0,0,0,50,0,0.0,0.0,0.0
0.3,5,hydra,50,0,0,0,50,0,0.0,0.0,0.0
0.3,5,upload,50,0,0,0,50,0,0.0,0.0,0.0
0.3,5,exploit,50,0,0,0,50,0,0.0,0.0,0.0
0.3,5,non-attack,50,0,4,0,46,0,0.08,0.0,0.0
0.3,5,multiple,50,20,9,7,14,0.7407407407407407,0.391304347826087,0.6896551724137931,0.7142857142857143
0.3,5,noise,50,10,7,13,20,0.43478260869565216,0.25925925925925924,0.5882352941176471,0.5
0.3,5,nmap,100,0,0,0,5,0,0.0,0.0,0.0
0.3,5,nikto,100,0,0,0,5,0,0.0,0.0,0.0
0.3,5,vrfy,100,0,0,0,5,0,0.0,0.0,0.0
0.3,5,hydra,100,0,0,0,5,0,0.0,0.0,0.0
0.3,5,upload,100,0,0,0,5,0,0.0,0.0,0.0
0.3,5,exploit,100,0,0,0,5,0,0.0,0.0,0.0
0.3,5,non-attack,100,0,0,0,5,0,0.0,0.0,0.0
0.3,5,multiple,100,5,0,0,0,1.0,0,1.0,1.0
0.3,5,noise,100,0,0,0,5,0,0.0,0.0,0.0
0.3,5,nmap,500,0,0,0,4,0,0.0,0.0,0.0
0.3,5,nikto,500,0,0,0,4,0,0.0,0.0,0.0
0.3,5,vrfy,500,0,0,0,4,0,0.0,0.0,0.0
0.3,5,hydra,500,0,0,0,4,0,0.0,0.0,0.0
0.3,5,upload,500,0,0,0,4,0,0.0,0.0,0.0
0.3,5,exploit,500,0,0,0,4,0,0.0,0.0,0.0
0.3,5,non-attack,500,0,0,0,4,0,0.0,0.0,0.0
0.3,5,multiple,500,4,0,0,0,1.0,0,1.0,1.0
0.3,5,noise,500,0,0,0,4,0,0.0,0.0,0.0
